ID,word,definition,eng_def,sentence,gpt4_image_path,english_sentence
1,乞食,1. 乞丐、叫花子。靠要錢、要飯過活的人。,"'1. Beggar, vagabond. People who live by begging for money or food.'",你這个人實在有夠好心，連路邊的乞食嘛共伊鬥相共。,ID_1.png,"You are really kind-hearted, even helping the homeless."
2,交椅,1. 有扶手有靠背的椅子。,'1. A chair with armrests and a backrest.',一个阿婆仔坐佇交椅頂，看人咧相褒。,ID_2.png,"An old lady sat on the chair, watching others play cards."
3,仙女,"1. 女性的仙人。
2. 指極美麗的女子。","'1. A female hermit.
2. Refers to an extremely beautiful woman.'",你看伊真正是，親像天頂的仙女。,ID_3.png,"You see, he is really beautiful, like a fairy in heaven."
4,作怪,"1. 胡鬧、搞鬼。
2. 妖魔鬼怪在作祟。","'1. Fooling around, playing pranks.
2. Goblins and demons are causing trouble.'",𪜶這个囡仔足會作怪的。,ID_4.png,This child is very mischievous.
6,來去,"1. 離開此處。合音唸作laih。
2. 去、前往。用於表示第一人稱或包含第一人稱的動作意願。合音唸作la̋i。
3. 來往。指人與人之間的交往互動。此用法不讀合音。","'1. Leave this place. Pronounced as 'laih'.
2. To go or to proceed. Used to express the intention of the first person or an action which involves the first person. Pronounced as 'la̋i'.
3. Interaction. Refers to the interaction between individuals. This usage isn't pronounced in a merged sound.'",欲出門，咱就做伙來去。,ID_6.png,"If you want to go out, let's go together."
8,保管,1. 保護管理。,'1. Protection management.',伊欲去日本，共彼个皮包予我保管。,ID_8.png,"He is going to Japan, and he entrusted me with taking care of the bag."
9,保鏢,"1. 古時稱專以武技保護他人行旅中財物、生命安全的行業。
2. 隨從、隨扈。私人的護衛。","'1. In ancient times, it refers to the profession that specialized in protecting others' property and lives with martial skills during their journey.
2. Attendants or followers. Private bodyguards.'",伊是老大的人，專門來做保鏢。,ID_9.png,"He is a boss, specializing in hiring bodyguards."
10,修行,"1. 指學道或是修習佛法。
2. 修身養性。","'1. Refers to learning or practicing the Buddha's teachings.
2. Cultivating oneself and nurturing one's character.'",伊講欲去修行，就出家矣。,ID_10.png,He said he wanted to practice and become a monk.
12,值錢,1. 有價值。,"Translate the following text into English:
'1. Valuable.'",伊彼支錶仔真值錢。,ID_12.png,His watch is very valuable.
15,偏僻,1. 偏離某一地區的中心位置或距主要部分較遠。,'To deviate from the central location of a certain area or to be farther from the main part.',你這个所在真偏僻。,ID_15.png,This place is really remote.
17,做客,"1. 回門、歸寧。
2. 寄居他鄉。","'1. Returning home, coming back to the peaceful hometown.
2. Living in a foreign land.'",你今仔日欲來做客。,ID_17.png,You are coming to my house as a guest today.
20,做陣,1. 一起、結伴。,"'Together, in pairs.'",行路相招做陣去。,ID_20.png,Walk together and go.
21,偝,1. 背。專指背人。,'To carry on one's back. Specifically refers to carrying people.',彼个囡仔人真好命，不時予阿母偝。,ID_21.png,"That child is very lucky, often being carried by their mother."
22,偷拈,1. 偷拿。原指是用手指夾取東西，分量並不多。,"'Theft. Originally refers to pinching things with fingers, the amount taken is not much.'",愛食就著家己捻，莫共我偷拈。,ID_22.png,"If you want to eat, then go ahead and take it yourself, don't steal it from me."
