ID,word,sentence,gpt4_image_path,english_sentence,definition
1,乞食,你這个人實在有夠好心，連路邊的乞食嘛共伊鬥相共。,ID_1.png,"You are really kind-hearted, even helping the homeless.",1. 乞丐、叫花子。靠要錢、要飯過活的人。
2,交椅,一个阿婆仔坐佇交椅頂，看人咧相褒。,ID_2.png,"An old lady sat on the chair, watching others play cards.",1. 有扶手有靠背的椅子。
3,仙女,你看伊真正是，親像天頂的仙女。,ID_3.png,"You see, he is really beautiful, like a fairy in heaven.","1. 女性的仙人。
2. 指極美麗的女子。"
4,作怪,𪜶這个囡仔足會作怪的。,ID_4.png,This child is very mischievous.,"1. 胡鬧、搞鬼。
2. 妖魔鬼怪在作祟。"
6,來去,欲出門，咱就做伙來去。,ID_6.png,"If you want to go out, let's go together.","1. 離開此處。合音唸作laih。
2. 去、前往。用於表示第一人稱或包含第一人稱的動作意願。合音唸作la̋i。
3. 來往。指人與人之間的交往互動。此用法不讀合音。"
7,便藥仔,你若著病，就緊去買便藥仔。,ID_7.png,"If you get sick, go buy some over-the-counter medicine immediately.",1. 成藥。藥料加工調製完成的藥物。明示劑量、效能、用法，經藥劑師建議後，即可供治療疾病用。
8,保管,伊欲去日本，共彼个皮包予我保管。,ID_8.png,"He is going to Japan, and he entrusted me with taking care of the bag.",1. 保護管理。
9,保鏢,伊是老大的人，專門來做保鏢。,ID_9.png,"He is a boss, specializing in hiring bodyguards.","1. 古時稱專以武技保護他人行旅中財物、生命安全的行業。
2. 隨從、隨扈。私人的護衛。"
10,修行,伊講欲去修行，就出家矣。,ID_10.png,He said he wanted to practice and become a monk.,"1. 指學道或是修習佛法。
2. 修身養性。"
11,借錢,我共伊借錢，叫伊緊還。,ID_11.png,I borrowed money from him and told him to repay it quickly.,1. 借用金錢款項。
12,值錢,伊彼支錶仔真值錢。,ID_12.png,His watch is very valuable.,1. 有價值。
15,偏僻,你這个所在真偏僻。,ID_15.png,This place is really remote.,1. 偏離某一地區的中心位置或距主要部分較遠。
17,做客,你今仔日欲來做客。,ID_17.png,You are coming to my house as a guest today.,"1. 回門、歸寧。
2. 寄居他鄉。"
20,做陣,行路相招做陣去。,ID_20.png,Walk together and go.,1. 一起、結伴。
21,偝,彼个囡仔人真好命，不時予阿母偝。,ID_21.png,"That child is very lucky, often being carried by their mother.",1. 背。專指背人。
22,偷拈,愛食就著家己捻，莫共我偷拈。,ID_22.png,"If you want to eat, then go ahead and take it yourself, don't steal it from me.",1. 偷拿。原指是用手指夾取東西，分量並不多。
26,傷心,你煞來對我放袂記，真是予我真傷心。,ID_26.png,"You forgot me, which really makes me sad.",1. 心中悲痛。
28,兄弟,咱是永遠的兄弟。,ID_28.png,We are eternally brothers.,"1. 男子同胞先出生的稱為「兄」，後出生的稱為「弟」，兄弟即哥哥和弟弟。
2. 泛指意氣相投的朋友。
3. 特指黑社會人物。"
29,光,日頭出來矣，天就變甲光。,ID_29.png,"As soon as the sun came out, the sky turned bright.","1. 視覺所能接受的一種波，給人亮的感覺。
2. 變亮。
3. 明亮、發亮的樣子。
4. 無遮掩。
5. 通曉、明白。
6. 平滑。
7. 閃亮耀眼，多用在抽象的感覺。"
30,光映映,天色光映映。,ID_30.png,The sky is bright and clear.,1. 形容非常光亮的樣子。
32,入來,你共我入來看。,ID_32.png,Come inside and take a look at me.,1. 進來。從外面進到裡面。
33,入學,咱若講著囡仔欲入去學校讀冊，古早人就講是「入學」,ID_33.png,"If we talk about children going to school to study, the ancients say it is ""entering school"".",1. 開始進入學校學習、求學。
34,入院,伊因為車禍去予人送來入院。,ID_34.png,He was sent to the hospital because of a car accident.,1. 住院。因為生病住進醫院就醫。
35,入院,你這个病真嚴重，著愛緊入院。,ID_35.png,"Your illness is very serious, you need to be admitted to the hospital quickly.",1. 住院。因為生病住進醫院就醫。
40,公共,公共的物件，逐家攏會當使用,ID_40.png,"Public things, everyone can use.",1. 大眾所共有的。
41,公分,我佮伊的身懸相差有三公分。,ID_41.png,I am three centimeters taller than him.,"1. 平分。
2. 用來計算長度的單位，等於百分之一公尺。"
43,公眾,伊是公眾人物。,ID_43.png,He is a public figure.,1. 大眾。指一般人民、群眾。
44,公開,你愛公開予人知影。,ID_44.png,You must let people know.,"1. 揭露、不加掩飾。
2. 開放的，人人可見的。
3. 眾人一起負擔金錢上的支出。"
45,冊,你若無讀冊，就會做戇癮頭,ID_45.png,"If you don't study, you will become a fool.","1. 書。古代編綴竹簡成冊，後來泛指書籍、簿本。
2. 計算套裝書的單位。"
46,冬,春天拄來的時，冬天就欲過去,ID_46.png,"When spring first arrives, winter is almost over.","1. 一年中的第四季。
2. 計算年的單位。代表一年的時間。
3. 年頭收成的狀況。
4. 農作物的收成季。"
47,冬菜,我食的冬節糜，是摻冬菜落去煮,ID_47.png,The winter solstice porridge I eat is cooked with winter vegetables.,1. 經過曬乾、加蒜、鹽漬的山東白菜，可以供烹飪煮食用。
48,冰,你毋通叫我食冰。,ID_48.png,Don't ask me to eat ice.,"1. 水在攝氏零度以下所凝結成的固體。
2. 形容塊狀、透明、堅硬、像冰塊一樣的東西。
3. 用低溫保存物品。
4. 涼冷的感覺。
5. 低溫的。
6. 擱著不用。"
