origin,destination,otherOptions,type,audio_filename,romanization
你好,Hello,"Goodbye,Thank you,Please",word,001_你好.wav,lí hó
再會,Goodbye,"Hello,Please,Thank you",word,002_再會.wav,tsài-huē
多謝,Thank you,"Hello,Goodbye,Please",word,003_多謝.wav,to-siā
請,Please,"Hello,Goodbye,Thank you",word,004_請.wav,tshiánn
對不住,Sorry,"Excuse me,Thank you,Please",word,005_對不住.wav,tuì-put-tsū
無要緊,It's okay,"Sorry,Thank you,Please",word,006_無要緊.wav,bô-iàu-kín
早起好,Good morning,"Good afternoon,Good night,Hello",word,007_早起好.wav,tsái-khí hó
下昏仔好,Good evening,"Good morning,Good bye,Hello",word,008_下昏仔好.wav,e-hng á-hó
晚安,Good night,"Good bye,Good morning,Hello",word,009_晚安.wav,buán-an
再會,See you,"Good night,Hello,Please",word,010_再會.wav,tsài-huē
食飯,Eat,"Drink,Sleep,Run",word,011_食飯.wav,tsia̍h-pn̄g
啉水,Drink,"Eat,Sleep,Run",word,012_啉水.wav,lim-tsuí
飽,Full,"Hungry,Thirsty,Sleepy",word,013_飽.wav,pá
枵,Hungry,"Full,Thirsty,Sleepy",word,014_枵.wav,iau
菜,Vegetable,"Fruit,Meat,Bread",word,015_菜.wav,tshài
豬肉,Meat,"Vegetable,Fruit,Bread",word,016_豬肉.wav,ti-bah
果子,Fruit,"Vegetable,Meat,Bread",word,017_果子.wav,kué-tsí
麵包,Bread,"Vegetable,Meat,Fruit",word,018_麵包.wav,mī-pau
湯,Soup,"Water,Juice,Milk",word,019_湯.wav,thng
奶,Milk,"Water,Juice,Soup",word,020_奶.wav,ni
機場,Airport,"Bus station,Train station,Hotel",word,021_機場.wav,ki-tiûnn
火車,Train,"Bus,Car,Bike",word,022_火車.wav,hué-tshia
汽車,Car,"Bus,Train,Bike",word,023_汽車.wav,khì-tshia
公共汽車,Bus,"Car,Train,Bike",word,024_公共汽車.wav,kong-kiōng-khì-tshia
跤踏車,Bike,"Car,Train,Bus",word,025_跤踏車.wav,kha-ta̍h-tshia
船,Boat,"Plane,Car,Bus",word,026_船.wav,tsûn
飛機,Plane,"Boat,Car,Bus",word,027_飛機.wav,hui-ki
計程仔,Taxi,"Bus,Train,Car",word,028_計程仔.wav,kè-tîng-á
地下鐵,Subway,"Train,Bus,Car",word,029_地下鐵.wav,tē-hā-thih
酒家,Hotel,"Motel,Hostel,Inn",word,030_酒家.wav,tsiú-ka
辦公室,Office,"Meeting,Conference room,Cubicle",word,031_辦公室.wav,pān-kong-sik
會議,Meeting,"Conference,Workshop,Report",word,032_會議.wav,huē-gī
報告,Report,"Meeting,Summary,Outline",word,033_報告.wav,pò-kò
項目,Project,"Task,Colleague,Report",word,034_項目.wav,hāng-bo̍k
頭家,Boss,"Manager,Supervisor,Leader",word,035_頭家.wav,thâu-ke
員工,Employee,"Worker,Boss,Colleague",word,036_員工.wav,uân-kang
同事,Colleague,"Teammate,Boss,Employee",word,037_同事.wav,tông-sū
薪水,Salary,"Wage,Contract,Bonus",word,038_薪水.wav,sin-suí
合約,Contract,"Agreement,Salary,Arrangement",word,039_合約.wav,ha̍p-iok
任務,Task,"Project,Contract,Job",word,040_任務.wav,jīm-bū
採買,Shopping,"Buying,Selling,Price",word,041_採買.wav,tshái-bé
價數,Price,"Cost,Value,Discount",word,042_價數.wav,kè-siàu
折數,Discount,"Sale,Offer,Price",word,043_折數.wav,tsiat-sòo
俗,Cheap,"Expensive,Discount,Price",word,044_俗.wav,sio̍k
貴,Expensive,"Cheap,Price,Discount",word,045_貴.wav,kuì
質量,Quality,"Service,Price,Grade",word,046_質量.wav,tsit-liōng
顧主,Customer,"Client,Shopping,Colleague",word,047_顧主.wav,kòo-tsú
